ISRICSOILGRIDS_new_average_soilorganiccarboncontent_reduced,x,y
48.0,116.87500935,2.70833354999999
-9999.0,106.45834185,-3.54166695000001
117.0,114.79167585,0.208333350000004
-9999.0,133.12501065,-32.70833595
21.0,-100.20834135,23.95833525
35.0,107.70834195,14.37500115
-9999.0,-121.87500975,36.04166955
26.0,130.62501045,-11.45833425
38.0,101.87500815,21.04166835
-9999.0,104.37500835,-6.04166715000001
87.0,-90.62500725,15.62500125
37.0,102.29167485,22.70833515
-9999.0,107.70834195,0.208333350000004
82.0,143.12501145,-3.95833365
46.0,106.04167515,20.62500165
92.0,143.12501145,-5.62500045
-9999.0,105.62500845,51.87500415
-9999.0,137.29167765,-16.04166795
-9999.0,115.20834255,-32.70833595
83.0,16.45833465,57.70833795
19.0,-6.87500055000001,38.95833645
19.0,-101.87500815,29.79166905
-9999.0,73.54167255,15.62500125
-9999.0,-100.20834135,16.87500135
-9999.0,100.62500805,13.12500105
127.0,-66.45833865,-54.79167105
25.0,-91.04167395,38.95833645
42.0,164.79167985,-20.62500165
-9999.0,115.62500925,-7.29166725
-9999.0,115.62500925,6.45833385
-9999.0,127.70834355,-7.70833395
-9999.0,129.79167705,-11.45833425
-9999.0,107.70834195,-3.54166695000001
111.0,151.04167875,-8.54166735
118.0,-74.79167265,-45.62500365
96.0,106.04167515,-1.87500015000001
22.0,151.45834545,-27.29166885
158.0,-72.70833915,-44.37500355
34.0,151.45834545,-31.45833585
167.0,97.70834115,3.54166694999999
79.0,113.12500905,1.45833345
31.0,-4.79166705,38.12500305
40.0,104.79167505,25.20833535
0.0,-99.37500795,17.70833475
26.0,-93.95834085,38.95833645
101.0,96.87500775,4.37500034999999
23.0,-95.20834095,36.04166955
43.0,126.45834345,-7.70833395
54.0,106.87500855,15.20833455
10.0,-111.04167555,36.04166955
-9999.0,7.70833395,37.29166965
22.0,0.625000049999983,41.45833665
154.0,103.12500825,-4.37500035000001
17.0,123.54167655,-10.20833415
-9999.0,104.79167505,-6.45833385
98.0,106.45834185,14.37500115
190.0,17.29166805,58.95833805
5.0,-106.45834185,27.70833555
-9999.0,-72.70833915,-50.20833735
-9999.0,108.95834205,21.04166835
25.0,-99.79167465,23.95833525
73.0,166.87501335,-15.62500125
18.0,-118.12500945,42.70833675
23.0,98.95834125,20.20833495
19.0,141.87501135,-16.04166795
-9999.0,79.37500635,8.12500065
-9999.0,145.62501165,-40.62500325
40.0,143.95834485,-33.54166935
-9999.0,138.12501105,34.37500275
-9999.0,143.12501145,-11.45833425
-9999.0,128.12501025,-32.29166925
31.0,-88.95834045,31.04166915
29.0,106.87500855,23.12500185
27.0,97.29167445,31.04166915
-9999.0,18.54166815,58.12500465
225.0,111.45834225,1.87500014999999
66.0,101.45834145,-2.70833355000001
-9999.0,129.79167705,-7.29166725
69.0,116.04167595,4.37500034999999
16.0,149.37501195,-32.29166925
68.0,116.04167595,3.54166694999999
-9999.0,27.70833555,36.45833625
17.0,-87.70834035,33.12500265
26.0,-98.54167455,30.20833575
-9999.0,166.87501335,-20.62500165
40.0,142.29167805,-7.70833395
20.0,-96.45834105,31.04166915
29.0,150.62501205,-33.54166935
38.0,141.87501135,-35.62500285
12.0,140.20834455,-34.37500275
15.0,-103.54167495,20.62500165
9.0,-90.20834055,14.79166785
27.0,-111.87500895,46.45833705
43.0,116.45834265,23.12500185
308.0,108.95834205,0.625000049999997
21.0,118.12500945,-29.79166905
13.0,141.45834465,-33.12500265
-9999.0,124.79167665,13.12500105
44.0,115.62500925,-3.12500025
-9999.0,131.87501055,-5.20833375000001
0.0,96.87500775,20.20833495
14.0,141.04167795,-32.70833595
22.0,144.37501155,-32.70833595
-9999.0,128.54167695,27.70833555
-9999.0,118.95834285,-8.95833405
51.0,-71.04167235,-42.29167005
2.0,-107.70834195,28.95833565
71.0,103.54167495,-3.95833365
71.0,116.45834265,-0.625000049999997
71.0,-71.87500575,-46.04167035
-9999.0,134.37501075,-11.45833425
36.0,-91.87500735,17.29166805
164.0,103.12500825,-1.87500015000001
8.0,-118.95834285,38.95833645
82.0,108.12500865,14.79166785
9.0,-103.95834165,28.12500225
18.0,144.37501155,-36.87500295
50.0,100.20834135,6.45833385
13.0,117.29167605,-33.12500265
26.0,149.37501195,-21.87500175
12.0,143.95834485,-36.04166955
23.0,150.62501205,-30.20833575
124.0,141.87501135,-12.70833435
135.0,9.37500075,54.37500435
0.0,-101.04167475,23.95833525
80.0,-72.29167245,-46.87500375
-9999.0,26.04166875,40.20833655
-9999.0,112.29167565,-8.54166735
-9999.0,147.29167845,-40.20833655
35.0,105.62500845,23.95833525
-9999.0,25.62500205,35.62500285
-9999.0,108.12500865,18.54166815
-9999.0,145.62501165,-16.04166795
53.0,103.54167495,11.87500095
34.0,-96.04167435,37.29166965
-9999.0,136.87501095,-13.95833445
26.0,-102.29167485,30.20833575
-9999.0,159.79167945,-11.45833425
49.0,102.29167485,4.79166705
-9999.0,-105.20834175,21.45833505
109.0,-71.45833905,-44.37500355
58.0,9.37500075,55.20833775
-9999.0,136.45834425,-15.62500125
26.0,-100.62500805,33.54166935
100.0,158.54167935,58.12500465
41.0,142.29167805,-33.95833605
75.0,78.95833965,30.62500245
159.0,94.79167425,16.04166795
15.0,142.70834475,-36.87500295
73.0,133.95834405,54.79167105
39.0,153.12501225,-30.20833575
-9999.0,133.54167735,36.04166955
18.0,-108.54167535,29.79166905
118.0,119.37500955,-5.20833375000001
31.0,106.87500855,13.54166775
70.0,123.12500985,-0.625000049999997
-9999.0,-83.95834005,8.95833404999999
43.0,100.62500805,6.87500055
-9999.0,129.37501035,-13.95833445
19.0,151.87501215,-25.20833535
123.0,138.54167775,58.12500465
58.0,136.87501095,-32.70833595
72.0,97.70834115,26.87500215
20.0,-4.79166705,38.95833645
84.0,119.79167625,-2.70833355000001
107.0,12.70833435,63.54167175
-9999.0,176.87501415,-40.20833655
41.0,22.29166845,37.29166965
18.0,-109.37500875,31.87500255
-9999.0,-108.95834205,23.12500185
82.0,-83.12500665,43.54167015
72.0,115.62500925,2.70833354999999
-9999.0,90.62500725,21.87500175
0.0,103.12500825,23.54166855
54.0,93.95834085,22.70833515
34.0,4.37500034999999,47.70833715
-9999.0,136.45834425,-14.37500115
24.0,0.625000049999983,41.04166995
18.0,149.79167865,-34.79166945
34.0,150.20834535,-33.12500265
93.0,100.62500805,-1.04166675
31.0,106.04167515,23.54166855
42.0,105.62500845,16.87500135
30.0,26.45833545,42.70833675
22.0,121.04167635,-30.62500245
-9999.0,-2.29166685000001,56.45833785
14.0,140.62501125,-36.45833625
32.0,131.04167715,-8.12500065
18.0,148.54167855,-32.70833595
-9999.0,134.37501075,-5.62500045
26.0,151.45834545,-26.87500215
-9999.0,115.20834255,-33.54166935
15.0,148.12501185,-20.20833495
14.0,-107.70834195,26.87500215
74.0,136.45834425,36.04166955
0.0,-102.29167485,18.54166815
-9999.0,107.70834195,-7.70833395
12.0,142.70834475,-13.95833445
37.0,-88.54167375,39.79166985
34.0,121.04167635,-1.45833345
47.0,168.12501345,-15.62500125
26.0,0.625000049999983,52.70833755
-9999.0,135.62501085,-4.79166705
108.0,114.37500915,3.12500025
169.0,-155.62501245,62.70833835
-9999.0,141.45834465,-9.37500075
71.0,99.37500795,1.87500014999999
55.0,98.95834125,8.95833404999999
59.0,-88.54167375,14.37500115
69.0,106.04167515,-2.29166685
-9999.0,121.04167635,-2.70833355000001
-9999.0,144.37501155,-13.95833445
-9999.0,129.37501035,30.20833575
102.0,146.45834505,-42.29167005
-9999.0,120.62500965,-33.95833605
-9999.0,121.87500975,-17.70833475
227.0,117.29167605,-0.625000049999997
-9999.0,75.62500605,10.62500085
76.0,173.95834725,-36.04166955
69.0,12.29166765,56.04167115
-9999.0,141.87501135,-11.45833425
44.0,113.95834245,1.87500014999999
85.0,-73.54167255,-41.87500335
43.0,16.45833465,54.37500435
28.0,2.70833354999999,48.54167055
-9999.0,129.79167705,-13.54166775
53.0,114.79167585,4.37500034999999
25.0,-106.45834185,26.04166875
17.0,-91.04167395,38.54166975
36.0,151.87501215,-29.79166905
14.0,118.12500945,-34.37500275
-9999.0,1.04166674999999,53.12500425
-9999.0,13.95833445,36.04166955
36.0,98.95834125,8.54166735
-9999.0,79.79167305,6.45833385
36.0,103.95834165,10.20833415
37.0,145.62501165,-5.62500045
39.0,91.87500735,24.37500195
20.0,92.70834075,30.20833575
213.0,113.54167575,0.208333350000004
29.0,147.70834515,-36.87500295
-9999.0,-66.45833865,-54.37500435
-9999.0,166.87501335,-14.79166785
35.0,-98.95834125,22.29166845
-9999.0,122.29167645,0.208333350000004
-9999.0,-109.37500875,23.54166855
10.0,143.12501145,-35.62500285
17.0,-108.95834205,31.04166915
43.0,96.45834105,20.62500165
69.0,98.54167455,2.29166685
-9999.0,92.29167405,11.04166755
14.0,149.79167865,-35.20833615
-9999.0,-121.45834305,35.62500285
33.0,104.79167505,18.12500145
13.0,-104.79167505,21.04166835
38.0,142.70834475,-32.70833595
-9999.0,-105.62500845,20.20833495
23.0,99.79167465,12.29166765
35.0,-100.62500805,25.62500205
26.0,-4.79166705,38.54166975
0.0,-102.70834155,21.04166835
271.0,-158.54167935,62.29167165
103.0,106.45834185,17.70833475
124.0,112.29167565,1.04166675
31.0,137.29167765,-35.62500285
-9999.0,120.62500965,21.87500175
-9999.0,-128.12501025,50.20833735
16.0,133.54167735,-14.79166785
-9999.0,131.87501055,32.29166925
65.0,95.62500765,26.04166875
61.0,-85.62500685,42.29167005
-9999.0,87.29167365,21.45833505
81.0,120.20834295,-1.45833345
29.0,100.62500805,13.95833445
-9999.0,120.20834295,-10.62500085
40.0,102.29167485,21.87500175
-9999.0,-73.54167255,-38.12500305
34.0,134.79167745,-33.12500265
12.0,-116.87500935,33.54166935
19.0,107.29167525,10.62500085
0.0,-103.54167495,23.54166855
115.0,130.62501045,-12.70833435
7.0,-107.70834195,28.54166895
28.0,133.54167735,-11.87500095
