LandCover_3_Deciduousbroadleaf,x,y
0.0,134.37501075,-6.45833385
0.0,-79.79167305,26.45833545
0.0,-81.45833985,28.12500225
0.0,-107.70834195,30.62500245
0.0,110.20834215,18.12500145
0.0,136.87501095,-11.45833425
0.0,-101.45834145,30.20833575
0.0,-98.95834125,30.20833575
29.0,33.95833605,56.04167115
0.0,146.45834505,-32.70833595
0.0,142.29167805,-32.29166925
0.0,-98.95834125,17.29166805
20.0,108.95834205,18.54166815
0.0,148.95834525,-33.54166935
0.0,101.45834145,14.37500115
0.0,1.04166674999999,50.20833735
16.0,150.62501205,-26.04166875
0.0,38.12500305,55.20833775
0.0,-106.04167515,21.04166835
0.0,129.79167705,28.54166895
0.0,121.87500975,-31.87500255
0.0,96.87500775,2.29166685
0.0,8.12500064999998,41.45833665
0.0,38.54166975,53.95833765
0.0,133.12501065,-4.37500035000001
0.0,138.54167775,-31.87500255
0.0,149.37501195,-4.37500035000001
0.0,111.87500895,21.45833505
0.0,120.20834295,5.62500045
0.0,101.04167475,-1.45833345
0.0,-106.45834185,28.12500225
0.0,119.37500955,4.37500034999999
0.0,101.87500815,4.79166705
0.0,104.79167505,-1.87500015000001
0.0,122.70834315,-30.20833575
0.0,115.20834255,-26.87500215
0.0,43.95833685,37.29166965
6.0,119.37500955,25.62500205
0.0,118.12500945,-35.20833615
0.0,-109.37500875,31.04166915
1.0,-82.70833995,31.87500255
0.0,-110.62500885,33.12500265
0.0,3.95833364999999,46.45833705
0.0,-2.29166685000001,55.62500445
5.0,-81.87500655,30.62500245
0.0,101.87500815,-4.37500035000001
0.0,20.62500165,51.87500415
0.0,6.45833385,48.95833725
0.0,26.45833545,39.79166985
0.0,151.04167875,-33.12500265
0.0,165.62501325,-22.29166845
4.0,-87.29167365,38.12500305
0.0,-103.12500825,23.54166855
0.0,128.12501025,-7.29166725
14.0,-82.29167325,28.95833565
0.0,123.54167655,-30.20833575
0.0,35.62500285,34.37500275
0.0,146.87501175,-35.20833615
0.0,149.79167865,-35.62500285
0.0,-65.20833855,-54.79167105
0.0,112.29167565,3.12500025
0.0,137.70834435,-32.29166925
0.0,33.54166935,44.79167025
0.0,11.45833425,41.87500335
0.0,-109.79167545,23.95833525
0.0,-81.04167315,30.62500245
11.0,114.79167585,23.54166855
0.0,137.29167765,-34.37500275
0.0,-99.79167465,17.70833475
0.0,92.29167405,24.37500195
0.0,42.70833675,56.04167115
0.0,100.62500805,3.95833365
15.0,123.12500985,-32.29166925
0.0,121.04167635,11.04166755
0.0,-87.29167365,43.12500345
0.0,135.62501085,-33.54166935
0.0,-101.04167475,20.62500165
0.0,168.12501345,-16.45833465
32.0,149.37501195,-36.04166955
0.0,118.54167615,24.37500195
0.0,-101.87500815,21.45833505
0.0,-108.54167535,29.79166905
0.0,23.12500185,53.95833765
0.0,121.45834305,-33.12500265
0.0,129.79167705,-27.70833555
25.0,-8.54166735000001,37.29166965
0.0,-106.04167515,24.79166865
0.0,0.625000049999983,53.54167095
0.0,-98.95834125,18.12500145
0.0,110.62500885,-1.04166675
0.0,104.37500835,8.54166735
0.0,116.04167595,-33.12500265
0.0,118.12500945,-33.12500265
0.0,-85.62500685,50.62500405
0.0,121.87500975,31.87500255
0.0,123.95834325,-9.37500075
0.0,135.62501085,-33.12500265
0.0,140.62501125,-16.87500135
0.0,86.87500695,20.62500165
0.0,105.62500845,-4.79166705
10.0,21.87500175,39.79166985
0.0,-100.62500805,26.04166875
0.0,121.04167635,-8.95833405
10.0,93.54167415,23.95833525
0.0,9.79166744999998,42.29167005
0.0,119.79167625,-35.62500285
0.0,-102.70834155,27.29166885
0.0,-110.62500885,33.95833605
0.0,139.79167785,-31.87500255
0.0,-120.20834295,33.95833605
3.0,3.95833364999999,47.70833715
0.0,122.29167645,38.54166975
21.0,22.29166845,53.12500425
24.0,29.37500235,53.54167095
0.0,-101.45834145,27.29166885
0.0,106.45834185,-6.87500055
0.0,116.87500935,-35.62500285
0.0,-1.45833345,45.20833695
0.0,-110.20834215,30.62500245
0.0,105.62500845,11.04166755
0.0,30.62500245,52.29167085
0.0,151.45834545,-3.54166695000001
0.0,105.20834175,9.79166744999999
0.0,141.87501135,-31.45833585
0.0,9.37500075,55.20833775
0.0,145.20834495,-36.04166955
0.0,-105.62500845,26.45833545
0.0,-88.54167375,37.70833635
6.0,36.04166955,51.04167075
0.0,16.04166795,43.54167015
0.0,140.20834455,-1.87500015000001
0.0,106.04167515,40.62500325
0.0,-105.62500845,20.20833495
0.0,144.37501155,-36.45833625
0.0,113.95834245,0.208333350000004
0.0,148.54167855,-38.12500305
0.0,115.20834255,5.20833374999999
0.0,-103.95834165,22.70833515
0.0,108.12500865,23.12500185
0.0,134.79167745,-31.04166915
0.0,147.70834515,-38.12500305
49.0,-108.95834205,27.70833555
0.0,140.20834455,-32.70833595
0.0,120.20834295,23.54166855
15.0,8.95833404999999,49.37500395
0.0,103.12500825,-1.87500015000001
0.0,116.45834265,-1.04166675
0.0,-101.04167475,21.87500175
0.0,101.45834145,5.20833374999999
0.0,-7.29166725000002,62.29167165
0.0,-107.70834195,31.04166915
17.0,120.62500965,-30.62500245
0.0,123.54167655,-2.29166685
0.0,38.54166975,55.62500445
0.0,122.29167645,36.45833625
8.0,100.20834135,13.95833445
5.0,-81.04167315,28.95833565
0.0,104.79167505,-5.62500045
0.0,151.04167875,-32.70833595
0.0,121.04167635,25.20833535
0.0,36.45833625,52.70833755
0.0,120.20834295,-34.37500275
0.0,-104.79167505,22.70833515
0.0,27.70833555,58.95833805
0.0,153.12501225,-27.29166885
0.0,145.20834495,-32.70833595
0.0,28.12500225,36.45833625
0.0,129.79167705,-1.04166675
0.0,101.04167475,-1.04166675
11.0,136.45834425,-32.70833595
0.0,-100.62500805,21.87500175
20.0,4.79166705,36.87500295
11.0,35.62500285,53.95833765
0.0,9.37500075,41.45833665
0.0,-116.87500935,33.12500265
0.0,146.87501175,-6.04166715000001
0.0,128.95834365,-31.87500255
0.0,136.04167755,-31.45833585
0.0,151.04167875,-25.62500205
24.0,-109.37500875,29.79166905
0.0,141.45834465,-33.95833605
0.0,118.12500945,-29.37500235
0.0,-116.45834265,32.29166925
0.0,127.29167685,-32.70833595
24.0,92.70834075,23.95833525
0.0,136.87501095,-11.87500095
0.0,118.95834285,23.95833525
0.0,101.45834145,12.29166765
0.0,104.79167505,9.79166744999999
0.0,121.04167635,28.12500225
0.0,10.20833415,49.37500395
4.0,33.95833605,55.20833775
0.0,115.20834255,1.04166675
0.0,138.54167775,-30.20833575
0.0,149.79167865,-30.20833575
0.0,111.04167555,-1.45833345
0.0,149.79167865,-33.95833605
0.0,108.95834205,21.04166835
0.0,22.29166845,40.62500325
0.0,143.54167815,-11.87500095
0.0,116.04167595,-31.04166915
0.0,118.12500945,-31.04166915
0.0,-108.95834205,30.20833575
15.0,36.45833625,57.29167125
0.0,30.62500245,53.12500425
0.0,-98.95834125,17.70833475
0.0,156.04167915,-7.29166725
0.0,-1.04166675000002,40.20833655
0.0,111.87500895,37.29166965
0.0,118.54167615,-34.37500275
0.0,145.62501165,-35.62500285
0.0,92.70834075,21.04166835
20.0,27.70833555,39.79166985
0.0,-101.87500815,25.20833535
4.0,-83.95834005,30.62500245
0.0,13.12500105,38.12500305
0.0,18.95833485,41.04166995
20.0,20.62500165,48.95833725
0.0,-103.95834165,30.20833575
0.0,-113.12500905,36.87500295
0.0,124.79167665,2.70833354999999
0.0,117.29167605,-35.20833615
0.0,-103.12500825,29.79166905
0.0,-101.45834145,25.20833535
19.0,23.95833525,58.54167135
0.0,114.79167585,-28.54166895
0.0,142.70834475,-32.70833595
0.0,85.20834015,28.12500225
0.0,121.45834305,-1.45833345
0.0,105.62500845,10.20833415
0.0,123.54167655,14.37500115
0.0,-108.95834205,33.12500265
8.0,6.04166714999999,49.79167065
0.0,153.12501225,-26.04166875
0.0,118.54167615,1.45833345
0.0,106.45834185,-5.62500045
60.0,-77.29167285,46.04167035
0.0,16.87500135,39.79166985
0.0,-102.70834155,21.45833505
0.0,-134.37501075,67.29167205
0.0,-106.87500855,31.45833585
0.0,-109.79167545,24.37500195
0.0,120.20834295,10.62500085
28.0,8.54166734999998,51.04167075
29.0,37.29166965,58.54167135
32.0,119.79167625,-32.70833595
0.0,-104.37500835,23.54166855
11.0,-101.45834145,19.37500155
0.0,146.87501175,-9.37500075
0.0,90.62500725,22.29166845
0.0,10.62500085,51.45833745
27.0,9.37500075,47.29167045
0.0,-104.37500835,28.54166895
0.0,117.29167605,-33.95833605
0.0,145.62501165,-6.87500055
0.0,121.87500975,-34.37500275
0.0,103.12500825,-5.20833375000001
15.0,130.20834375,-15.62500125
47.0,-109.79167545,28.54166895
0.0,-101.87500815,27.70833555
6.0,116.45834265,-31.87500255
0.0,28.95833565,40.62500325
0.0,131.87501055,-1.87500015000001
0.0,-7.29166725000002,36.87500295
0.0,134.37501075,-30.62500245
9.0,5.62500044999999,50.20833735
11.0,119.79167625,-33.95833605
0.0,151.87501215,-26.87500215
0.0,92.70834075,24.79166865
0.0,120.62500965,23.12500185
10.0,-81.45833985,30.20833575
0.0,105.62500845,36.04166955
0.0,137.29167765,-31.87500255
0.0,126.04167675,-13.54166775
0.0,151.04167875,-26.04166875
0.0,18.12500145,61.04167155
0.0,117.29167605,6.45833385
0.0,-73.12500585,-36.45833625
0.0,121.87500975,-1.45833345
20.0,121.45834305,-31.04166915
8.0,-86.45834025,30.62500245
0.0,112.70834235,28.95833565
15.0,-97.70834115,16.87500135
8.0,-6.04166715000002,39.79166985
0.0,134.37501075,-6.87500055
10.0,103.54167495,21.04166835
0.0,108.95834205,23.12500185
25.0,93.12500745,21.45833505
4.0,-102.29167485,20.20833495
0.0,88.12500705,21.87500175
0.0,104.37500835,-6.04166715000001
0.0,-2.70833355000002,37.29166965
0.0,139.79167785,-34.37500275
0.0,-1.45833345,51.45833745
24.0,101.45834145,19.37500155
0.0,102.70834155,1.87500014999999
0.0,-106.04167515,26.04166875
0.0,150.62501205,-33.95833605
32.0,122.29167645,-32.70833595
0.0,29.37500235,52.70833755
0.0,118.95834285,-33.95833605
0.0,143.95834485,-33.54166935
34.0,-109.79167545,29.37500235
0.0,-112.29167565,35.20833615
0.0,114.37500915,5.20833374999999
0.0,139.79167785,-16.45833465
4.0,-81.45833985,31.87500255
31.0,124.37500995,-32.70833595
0.0,-101.87500815,30.20833575
0.0,112.29167565,23.54166855
0.0,113.12500905,22.29166845
0.0,-4.79166705,36.45833625
35.0,-68.54167215,47.70833715
0.0,131.45834385,-31.45833585
50.0,-100.20834135,17.70833475
0.0,102.29167485,6.45833385
0.0,110.62500885,42.29167005
0.0,129.79167705,34.79166945
0.0,121.45834305,-3.95833365
0.0,-104.79167505,20.62500165
0.0,117.70834275,1.45833345
0.0,116.04167595,-4.79166705
0.0,118.95834285,-5.20833375000001
0.0,-8.54166735000001,53.95833765
0.0,9.37500075,38.95833645
0.0,143.95834485,-36.04166955
26.0,-109.79167545,30.20833575
0.0,111.45834225,26.45833545
0.0,103.95834165,10.20833415
0.0,116.87500935,-34.37500275
0.0,116.45834265,-35.20833615
0.0,142.70834475,-36.04166955
0.0,-6.04166715000002,39.37500315
11.0,-68.12500545,46.45833705
0.0,103.95834165,10.62500085
0.0,-106.45834185,29.79166905
0.0,121.04167635,5.62500045
0.0,142.70834475,-7.70833395
0.0,146.87501175,-34.79166945
12.0,-6.45833385,38.12500305
0.0,-101.87500815,22.29166845
0.0,104.79167505,28.95833565
0.0,119.79167625,-1.45833345
0.0,15.20833455,37.70833635
0.0,41.45833665,56.04167115
0.0,113.54167575,-27.70833555
0.0,146.45834505,-35.62500285
0.0,133.12501065,-31.87500255
0.0,106.45834185,11.45833425
19.0,36.45833625,59.37500475
0.0,-111.45834225,34.79166945
34.0,6.87500054999998,49.79167065
0.0,118.12500945,6.04166714999999
0.0,-79.79167305,26.04166875
0.0,106.45834185,18.54166815
0.0,152.29167885,-31.45833585
5.0,119.79167625,-33.54166935
0.0,131.87501055,-32.29166925
0.0,118.54167615,5.62500045
0.0,41.45833665,52.70833755
0.0,118.12500945,3.95833365
0.0,5.62500044999999,36.87500295
0.0,105.62500845,-6.87500055
0.0,-103.54167495,20.62500165
0.0,118.54167615,26.87500215
0.0,-106.04167515,28.54166895
0.0,151.45834545,-31.45833585
0.0,121.45834305,18.95833485
0.0,118.95834285,4.37500034999999
0.0,134.79167745,-31.87500255
6.0,113.54167575,23.54166855
0.0,105.20834175,23.54166855
0.0,97.29167445,16.04166795
0.0,108.54167535,16.04166795
0.0,-103.95834165,23.95833525
0.0,121.87500975,40.62500325
0.0,122.70834315,30.62500245
0.0,151.45834545,-32.29166925
0.0,118.95834285,5.62500045
0.0,-70.62500565,-53.12500425
0.0,149.79167865,-21.87500175
0.0,120.20834295,15.20833455
0.0,145.20834495,-35.20833615
0.0,-101.04167475,33.54166935
0.0,121.45834305,6.87500055
6.0,-98.95834125,18.54166815
0.0,97.70834115,3.95833365
0.0,106.04167515,-4.79166705
0.0,94.79167425,5.62500045
0.0,151.04167875,-24.37500195
9.0,144.37501155,-37.70833635
2.0,-123.54167655,40.20833655
0.0,-103.95834165,21.87500175
0.0,137.29167765,-30.20833575
0.0,-80.62500645,32.29166925
0.0,120.20834295,-30.20833575
0.0,130.20834375,-27.29166885
0.0,-111.45834225,35.20833615
0.0,36.04166955,54.37500435
0.0,-104.37500835,21.04166835
0.0,-101.45834145,20.20833495
0.0,130.20834375,-29.37500235
0.0,106.45834185,23.12500185
55.0,-89.37500715,46.04167035
0.0,-108.95834205,28.12500225
0.0,114.79167585,-30.62500245
0.0,107.70834195,36.87500295
5.0,-96.45834105,16.04166795
0.0,-101.45834145,29.37500235
0.0,139.37501115,-33.95833605
0.0,-83.54167335,46.04167035
0.0,-6.87500055000001,37.70833635
0.0,111.04167555,19.37500155
0.0,115.62500925,23.95833525
0.0,112.29167565,26.04166875
0.0,121.45834305,28.12500225
0.0,8.95833404999999,41.45833665
0.0,141.45834465,-36.87500295
0.0,141.45834465,-32.29166925
0.0,109.37500875,24.37500195
0.0,9.79166744999998,43.95833685
45.0,-78.12500625,46.45833705
0.0,115.62500925,-28.95833565
22.0,47.29167045,54.37500435
0.0,140.20834455,-36.45833625
0.0,118.54167615,-31.87500255
0.0,74.37500595,14.79166785
0.0,117.29167605,28.95833565
0.0,140.20834455,-33.12500265
0.0,35.20833615,33.54166935
0.0,141.45834465,-14.79166785
0.0,116.45834265,-32.70833595
0.0,3.54166694999998,50.20833735
13.0,-99.37500795,18.95833485
0.0,123.12500985,0.625000049999997
0.0,-94.79167425,28.95833565
0.0,-121.45834305,38.54166975
0.0,127.29167685,4.79166705
0.0,41.45833665,55.20833775
12.0,45.62500365,57.70833795
8.0,-80.62500645,33.54166935
0.0,-101.45834145,21.45833505
0.0,110.20834215,40.20833655
0.0,-101.04167475,24.79166865
0.0,108.95834205,11.04166755
0.0,150.20834535,-23.54166855
0.0,-89.79167385,29.79166905
0.0,113.54167575,24.79166865
0.0,78.12500625,31.04166915
0.0,101.87500815,2.29166685
0.0,173.95834725,-34.79166945
0.0,-69.79167225,-53.54167095
0.0,143.12501145,-11.04166755
0.0,96.04167435,20.62500165
9.0,8.95833404999999,50.62500405
0.0,11.45833425,42.70833675
49.0,-109.37500875,28.12500225
0.0,134.79167745,-1.04166675
1.0,11.04166755,49.79167065
11.0,34.37500275,31.45833585
32.0,46.87500375,56.87500455
0.0,-83.12500665,47.29167045
22.0,120.62500965,-30.20833575
0.0,-109.79167545,33.54166935
0.0,117.70834275,5.62500045
11.0,-81.45833985,27.70833555
9.0,96.04167435,19.37500155
0.0,115.20834255,-32.70833595
0.0,122.70834315,16.87500135
0.0,26.45833545,38.54166975
0.0,120.62500965,-3.95833365
0.0,28.12500225,39.37500315
0.0,44.37500355,37.29166965
10.0,43.12500345,58.54167135
0.0,-2.29166685000001,53.54167095
0.0,116.87500935,-0.625000049999997
0.0,113.95834245,38.12500305
0.0,15.62500125,39.37500315
0.0,119.37500955,-30.62500245
0.0,-80.20833975,33.54166935
0.0,120.62500965,-5.20833375000001
0.0,146.45834505,-34.79166945
3.0,-106.87500855,26.04166875
0.0,-0.625000050000011,38.54166975
0.0,8.95833404999999,51.87500415
24.0,93.95834085,25.20833535
0.0,112.29167565,-7.29166725
10.0,-81.45833985,29.79166905
0.0,-110.20834215,31.87500255
0.0,-85.20834015,13.95833445
0.0,22.70833515,39.37500315
0.0,-83.12500665,50.62500405
0.0,-102.29167485,21.45833505
10.0,36.45833625,55.20833775
4.0,12.70833435,48.95833725
88.0,20.20833495,48.54167055
0.0,137.70834435,-5.20833375000001
0.0,-105.62500845,26.04166875
0.0,106.45834185,-2.29166685
0.0,107.29167525,13.95833445
0.0,103.12500825,-4.79166705
21.0,-109.79167545,23.54166855
0.0,119.37500955,5.20833374999999
0.0,108.54167535,22.29166845
0.0,151.45834545,-26.45833545
0.0,121.04167635,27.70833555
32.0,134.79167745,-33.12500265
0.0,-3.95833365000001,36.45833625
5.0,-101.04167475,20.20833495
0.0,-89.79167385,15.20833455
0.0,102.70834155,1.04166675
0.0,-96.87500775,30.20833575
0.0,121.04167635,29.79166905
0.0,122.29167645,9.79166744999999
0.0,117.29167605,-34.79166945
0.0,166.45834665,-21.45833505
5.0,13.12500105,58.12500465
11.0,28.54166895,50.62500405
0.0,115.62500925,26.04166875
0.0,149.37501195,-37.70833635
0.0,1.87500014999998,49.79167065
0.0,-2.29166685000001,37.70833635
0.0,-87.70834035,29.79166905
0.0,-94.79167425,17.29166805
0.0,-101.45834145,27.70833555
0.0,118.95834285,-1.45833345
0.0,18.12500145,39.79166985
0.0,118.12500945,1.04166675
0.0,-110.62500885,32.29166925
0.0,-107.29167525,26.04166875
0.0,108.54167535,0.625000049999997
0.0,12.29166765,50.62500405
0.0,-80.20833975,24.79166865
0.0,123.12500985,7.29166725
11.0,23.12500185,56.87500455
0.0,140.62501125,-36.04166955
0.0,118.95834285,-5.62500045
0.0,114.79167585,-8.12500065
0.0,96.04167435,5.20833374999999
0.0,105.62500845,21.87500175
0.0,97.70834115,9.79166744999999
0.0,26.04166875,40.20833655
0.0,130.20834375,-15.20833455
0.0,140.20834455,-33.54166935
0.0,103.12500825,19.79166825
0.0,103.12500825,0.625000049999997
0.0,118.54167615,-30.62500245
8.0,40.20833655,55.62500445
0.0,106.45834185,11.04166755
0.0,16.45833465,42.70833675
0.0,121.87500975,-1.04166675
0.0,103.95834165,2.70833354999999
0.0,109.79167545,20.62500165
0.0,114.37500915,-28.54166895
0.0,103.95834165,11.87500095
0.0,-91.45834065,56.04167115
0.0,-96.87500775,38.95833645
23.0,43.54167015,58.54167135
0.0,118.95834285,-31.45833585
0.0,118.54167615,-8.95833405
0.0,108.12500865,36.87500295
0.0,21.04166835,54.37500435
0.0,116.04167595,-29.37500235
0.0,91.87500735,25.62500205
0.0,-5.62500045000002,40.20833655
0.0,115.20834255,2.70833354999999
0.0,121.87500975,-32.70833595
0.0,-91.04167395,16.04166795
0.0,27.70833555,36.45833625
0.0,101.45834145,18.12500145
0.0,-108.95834205,36.04166955
0.0,117.70834275,-0.625000049999997
0.0,117.29167605,0.625000049999997
0.0,172.70834715,-34.37500275
0.0,-108.54167535,33.12500265
0.0,32.29166925,36.87500295
16.0,-66.04167195,-54.79167105
0.0,1.87500014999998,43.54167015
0.0,114.37500915,22.70833515
0.0,123.12500985,-29.79166905
0.0,136.87501095,-32.29166925
30.0,121.04167635,-31.04166915
0.0,117.29167605,8.12500065
8.0,150.62501205,-31.45833585
11.0,151.45834545,-30.62500245
13.0,-97.70834115,16.45833465
13.0,-81.45833985,30.62500245
0.0,119.79167625,23.54166855
0.0,15.20833455,68.12500545
9.0,-68.54167215,46.45833705
17.0,121.87500975,-31.04166915
0.0,48.54167055,37.70833635
0.0,110.20834215,-6.45833385
0.0,8.54166734999998,38.54166975
0.0,142.29167805,-35.62500285
0.0,148.54167855,-32.70833595
0.0,116.87500935,23.54166855
0.0,152.70834555,-30.20833575
20.0,96.04167435,23.12500185
0.0,143.95834485,-6.04166715000001
0.0,166.04167995,-21.04166835
0.0,-72.70833915,-48.12500385
0.0,145.62501165,-31.45833585
0.0,-81.04167315,32.70833595
0.0,1.45833345,44.37500355
0.0,111.87500895,23.12500185
0.0,45.62500365,36.04166955
5.0,108.12500865,13.95833445
0.0,116.04167595,-3.12500025
0.0,144.37501155,-31.87500255
0.0,104.79167505,12.70833435
0.0,6.04166714999999,49.37500395
0.0,145.62501165,-32.29166925
0.0,0.208333349999975,48.54167055
0.0,103.54167495,10.20833415
0.0,119.79167625,-1.04166675
39.0,-107.70834195,26.87500215
0.0,-7.29166725000002,38.54166975
0.0,141.45834465,-33.54166935
0.0,103.12500825,10.20833415
0.0,4.79166705,51.04167075
0.0,113.95834245,4.37500034999999
0.0,-98.54167455,29.79166905
0.0,33.95833605,51.04167075
23.0,33.95833605,56.45833785
0.0,41.87500335,38.54166975
0.0,92.70834075,19.79166825
0.0,109.37500875,-6.45833385
0.0,138.95834445,-30.20833575
17.0,151.45834545,-28.95833565
0.0,-88.54167375,30.20833575
8.0,-81.87500655,28.12500225
17.0,-88.54167375,34.79166945
0.0,-7.29166725000002,41.04166995
7.0,-100.20834135,21.87500175
0.0,114.79167585,-29.79166905
0.0,102.29167485,12.29166765
0.0,-101.45834145,21.04166835
0.0,40.20833655,54.37500435
18.0,122.29167645,-31.45833585
11.0,102.70834155,22.29166845
0.0,-80.62500645,31.45833585
0.0,111.87500895,22.70833515
0.0,100.20834135,12.70833435
0.0,27.70833555,50.62500405
0.0,109.37500875,21.87500175
0.0,98.12500785,17.70833475
0.0,92.29167405,25.20833535
3.0,18.12500145,47.70833715
0.0,42.70833675,53.12500425
9.0,-5.20833375000001,40.62500325
0.0,106.87500855,40.62500325
0.0,27.29166885,39.79166985
0.0,96.04167435,21.45833505
0.0,116.04167595,27.29166885
29.0,113.95834245,23.54166855
0.0,146.87501175,-34.37500275
0.0,-106.45834185,26.87500215
0.0,101.04167475,7.29166725
0.0,139.37501115,-36.87500295
0.0,91.87500735,20.62500165
0.0,-103.12500825,36.45833625
2.0,120.62500965,-32.29166925
0.0,-101.87500815,29.79166905
8.0,18.95833485,51.45833745
0.0,94.79167425,5.20833374999999
21.0,110.20834215,28.54166895
0.0,140.62501125,-34.37500275
0.0,142.29167805,-33.54166935
28.0,-103.95834165,21.45833505
0.0,101.87500815,-2.70833355000001
0.0,98.95834125,2.70833354999999
5.0,33.12500265,51.45833745
0.0,129.37501035,29.79166905
8.0,74.37500595,15.20833455
0.0,8.54166734999998,43.12500345
0.0,112.29167565,1.04166675
0.0,148.54167855,-32.29166925
0.0,-85.62500685,13.12500105
0.0,141.04167795,-35.20833615
